,Unnamed: 0,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,tsne1,tsne2,tsne3,tsne_clusters
964,964,1006615003,Your Village Market,WARREN,MA,1083,"TD BANK, NATIONAL ASSOCIATION",DE,531312,11-Jun-03,2003,240,2,2.0,0,0,1,0,N,N,,31-Aug-03,100000.0,0.0,P I F,0.0,100000.0,50000.0,-7.8591537,-2.4665396,-0.11583579,4
965,965,1006625006,Envision  Salon & Spa,HAMPSTEAD,NH,3841,"TD BANK, NATIONAL ASSOCIATION",DE,812112,11-Jun-03,2003,84,6,2.0,0,0,1,0,Y,N,,31-Jul-03,7458.0,0.0,P I F,0.0,5000.0,2500.0,-10.373408,2.0928066,-4.160143,4
966,966,1006634002,BRIDGE CREEK BACKCOUNTRY KITCH,RED LODGE,MT,59068,WELLS FARGO BANK NATL ASSOC,MT,0,3-Mar-97,1997,240,15,2.0,0,0,1,2,N,N,,31-Mar-97,280000.0,0.0,P I F,0.0,280000.0,210000.0,-7.1687794,-7.0813184,-1.2961154,3
967,967,1006635009,"Reagan's Southside Beverage, I",NEENAH,WI,54956,ASSOCIATED BANK NATL ASSOC,WI,445310,12-Jun-03,2003,72,9,1.0,0,0,1,0,N,N,,31-Aug-03,27600.0,0.0,P I F,0.0,27600.0,13800.0,-2.3439686,12.600858,8.977161,1
968,968,1006645001,Fitness Express,TYNGSBORO,MA,1879,"TD BANK, NATIONAL ASSOCIATION",DE,713940,12-Jun-03,2003,60,1,2.0,0,0,1,0,N,N,,31-Jul-03,28000.0,0.0,P I F,0.0,28000.0,14000.0,-10.60404,2.0822263,-4.4473786,4
969,969,1006655004,"Harbor Transport, Inc.",MIAMI,FL,33166,CALIFORNIA BANK & TRUST,CA,484110,13-Jun-03,2003,84,5,1.0,0,0,1,0,N,N,,30-Jun-03,150000.0,0.0,P I F,0.0,150000.0,75000.0,6.133172,7.241844,16.363003,1
970,970,1006665007,"Midtech Partners, Inc.",DENVER,CO,80223,CALIFORNIA BANK & TRUST,CA,541511,13-Jun-03,2003,82,9,2.0,0,0,1,1,Y,N,,31-Jul-03,110766.0,0.0,P I F,0.0,100000.0,50000.0,-5.2759275,2.9634562,-11.527914,0
971,971,1006674003,"REAL TRUCKING, INC.",SIDNEY,MT,59270,STOCKMAN BANK OF MONTANA,MT,0,3-Mar-97,1997,108,13,1.0,0,0,1,2,N,N,,31-Mar-97,75000.0,0.0,P I F,0.0,75000.0,60000.0,1.8172097,1.7426714,3.8679237,1
972,972,1006675010,Greg Sanford,PETAL,MS,39465,TRUSTMARK NATIONAL BANK,MS,484220,16-Jun-03,2003,36,1,2.0,0,0,1,2,N,N,,31-Jul-03,12300.0,0.0,P I F,0.0,12300.0,6150.0,-3.3372087,0.33853054,-8.917334,0
973,973,1006685002,Mighty International,POMONA,CA,91768,CALIFORNIA BANK & TRUST,CA,423690,16-Jun-03,2003,36,6,1.0,0,0,1,0,Y,N,,30-Jun-03,50000.0,0.0,P I F,0.0,50000.0,25000.0,-2.3049922,10.185539,7.8001084,1
974,974,1006695005,Rick Schaffer,TUSTIN,CA,92780,CALIFORNIA BANK & TRUST,CA,561790,16-Jun-03,2003,83,1,1.0,0,0,1,0,Y,N,,30-Jun-03,20342.0,0.0,P I F,0.0,17600.0,8800.0,0.10253304,7.8028297,9.820698,1
975,975,1006704010,SUNSHINE FACTORY,MISSOULA,MT,59801,FIRST SECURITY BK OF MISSOULA,MT,0,3-Mar-97,1997,60,1,1.0,0,0,1,0,N,Y,,31-Mar-97,47000.0,0.0,P I F,0.0,47000.0,37600.0,-0.22045396,-1.1207626,11.925574,1
976,976,1006705006,"China Furniture, Inc.",MOUNTAIN VIEW,CA,94041,CALIFORNIA BANK & TRUST,CA,442110,16-Jun-03,2003,36,2,1.0,0,0,1,0,Y,N,,30-Jun-03,50000.0,0.0,P I F,0.0,50000.0,25000.0,-2.1771364,10.254912,7.855475,1
977,977,1006715009,"TNP, LLC",SAINT LOUIS,MO,63128,CALIFORNIA BANK & TRUST,CA,722110,16-Jun-03,2003,17,14,1.0,0,0,1,0,N,N,18-Feb-09,30-Jun-03,88000.0,0.0,CHGOFF,37403.0,88000.0,44000.0,0.87930506,10.915797,9.331444,1
978,978,1006725001,T & M Property Management LLC,MILLDALE,CT,6467,"TD BANK, NATIONAL ASSOCIATION",DE,531312,18-Jun-03,2003,240,2,1.0,0,0,1,2,N,N,,31-Aug-03,105000.0,0.0,P I F,0.0,105000.0,52500.0,1.9382885,-1.1704197,1.7564313,3
979,979,1006735004,"All Electric Works, Inc.",REVERE,MA,2151,"TD BANK, NATIONAL ASSOCIATION",DE,238210,18-Jun-03,2003,27,1,1.0,0,0,1,0,N,N,20-Jun-08,31-Aug-03,23209.0,0.0,CHGOFF,21929.0,25000.0,12500.0,6.556215,5.6215796,18.189539,1
980,980,1006745007,"Foodlogic,LLC",NEWTON UPPER FALLS,MA,2464,"TD BANK, NATIONAL ASSOCIATION",DE,446120,18-Jun-03,2003,84,2,1.0,0,0,1,0,N,N,,31-Jul-03,147192.0,0.0,P I F,0.0,150000.0,75000.0,5.645452,7.639854,18.11933,1
981,981,1006755010,"All Electric Work, Inc",REVERE,MA,2151,"TD BANK, NATIONAL ASSOCIATION",DE,238210,20-Jun-03,2003,60,1,1.0,0,0,1,0,N,N,,31-Jul-03,25500.0,0.0,P I F,0.0,25500.0,12750.0,6.576545,5.9335995,18.351446,1
982,982,1006765002,Oil Can Harry's Smokehouse,WESSON,MS,39191,TRUSTMARK NATIONAL BANK,MS,722110,20-Jun-03,2003,48,3,2.0,0,0,1,2,N,N,,31-Jul-03,63500.0,0.0,P I F,0.0,63500.0,31750.0,-3.84537,-0.3143803,-9.350202,0
983,983,1006775005,"Mid-South Pallets, Inc",LAUREL,MS,39443,TRUSTMARK NATIONAL BANK,MS,321920,20-Jun-03,2003,83,4,1.0,0,0,1,2,Y,N,,31-Jul-03,43829.0,0.0,P I F,0.0,20200.0,10100.0,5.4097695,5.0741267,0.37284803,2
984,984,1006785008,"Pioneer Valley Oil, Inc.",PITTSFIELD,MA,1201,"TD BANK, NATIONAL ASSOCIATION",DE,454311,25-Jun-03,2003,60,1,2.0,0,0,1,0,N,N,,31-Jul-03,66800.0,0.0,P I F,0.0,66800.0,33400.0,-11.388828,1.2587112,-5.3087277,4
985,985,1006805001,"Hermans, Inc dba Speedway",JACKSON,MS,39204,TRUSTMARK NATIONAL BANK,MS,447110,26-Jun-03,2003,59,1,2.0,0,0,1,1,N,N,,31-Jul-03,15300.0,0.0,P I F,0.0,15300.0,7650.0,-7.4917893,1.5031505,-11.160867,0
986,986,1006815004,Straight Shot Express,DAVENPORT,IA,52806,ASSOCIATED BANK NATL ASSOC,WI,492110,27-Jun-03,2003,84,50,1.0,0,0,78325,0,Y,N,,31-Mar-04,74999.0,0.0,P I F,0.0,50000.0,25000.0,-1.5043229,-13.287484,-5.8785596,3
987,987,1006825007,"Native Cities, Inc.",MILWAUKEE,WI,53203,BMO HARRIS BK NATL ASSOC,IL,511120,27-Jun-03,2003,83,2,1.0,0,0,1,0,Y,N,,31-Jul-03,25000.0,0.0,P I F,0.0,25000.0,12500.0,-2.3140762,12.647201,9.008992,1
988,988,1006826003,"D & J ENTERPRISES, INC.",PLEASANTON,CA,94588,SBA - EDF ENFORCEMENT ACTION,CO,811111,8-Feb-06,2006,240,3,2.0,4,3,1,1,0,N,,17-May-06,322000.0,0.0,P I F,0.0,322000.0,322000.0,-0.49659628,-4.4325776,-0.9672271,3
989,989,1006855005,Straight Shot Express,DAVENPORT,IA,52806,ASSOCIATED BANK NATL ASSOC,WI,492110,1-Jul-03,2003,84,50,1.0,0,0,78325,0,Y,N,,31-Jul-03,174052.0,0.0,P I F,0.0,150000.0,75000.0,-1.4702033,-13.28157,-5.866875,3
990,990,1006856001,NAZIH HAKIM,LOS ANGELES,CA,91325,SBA - EDF ENFORCEMENT ACTION,CO,524210,8-Feb-06,2006,240,3,1.0,3,3,1,1,0,N,,12-Apr-06,331000.0,0.0,P I F,0.0,331000.0,331000.0,0.23179176,-4.3511496,-0.09465154,3
991,991,1006865008,Tropical Tan,EASTHAMPTON,MA,1027,"TD BANK, NATIONAL ASSOCIATION",DE,812199,1-Jul-03,2003,60,2,2.0,0,0,1,0,N,N,,31-Aug-03,33000.0,0.0,P I F,0.0,33000.0,16500.0,-10.364435,2.1743157,-4.2308035,4
992,992,1006875000,"Cooper Group, Ltd.",BEAUMONT,TX,77707,WELLS FARGO BANK NATL ASSOC,TX,561310,1-Jul-03,2003,13,4,1.0,0,0,1,0,Y,N,,31-Jul-03,153862.0,0.0,P I F,0.0,100000.0,50000.0,-0.1305949,9.418993,7.4818287,1
993,993,1006876007,S & H LAWN SERVICES INC,FREDERICKSBURG,VA,22408,UNION FIRST MARKET BANK,VA,561730,8-Feb-06,2006,36,2,1.0,0,2,1,2,0,N,,31-Mar-06,12000.0,0.0,P I F,0.0,12000.0,6000.0,4.9963164,3.8247364,0.34939715,2
994,994,1006885003,"Same Day P.F.T., Inc. and Ray",DOTHAN,AL,36301,WELLS FARGO BANK NATL ASSOC,SD,621511,2-Jul-03,2003,60,2,2.0,0,0,1,0,N,N,,30-Nov-03,19000.0,0.0,P I F,0.0,40000.0,20000.0,-12.013468,2.3535776,-3.8778331,4
995,995,1006886010,LAW OFFICES OF WENDY LC FOUNTA,ORANGE,CA,92868,MUFG UNION BANK NATL ASSOC,CA,541110,8-Feb-06,2006,36,5,1.0,0,0,1,1,0,N,,31-Mar-06,10000.0,0.0,P I F,0.0,10000.0,5000.0,4.7987413,7.5470543,-4.774658,2
996,996,1006895006,"Same Day P.F.T., Inc.",DOTHAN,AL,36301,WELLS FARGO BANK NATL ASSOC,SD,621511,2-Jul-03,2003,24,2,2.0,0,0,1,0,Y,N,,30-Nov-03,18881.0,0.0,P I F,0.0,35000.0,17500.0,-12.259475,2.4932344,-3.9766533,4
997,997,1006905007,"B & G Services, Inc.",ASHLAND,MA,1721,"TD BANK, NATIONAL ASSOCIATION",DE,423930,2-Jul-03,2003,84,6,2.0,0,0,401,0,N,N,,31-Jul-03,27949.0,0.0,P I F,0.0,30000.0,15000.0,-11.616752,1.1989657,-5.4920344,4
998,998,1006915010,Seckar Electric Company of Osh,WINNECONNE,WI,54986,ASSOCIATED BANK NATL ASSOC,WI,238210,3-Jul-03,2003,84,6,1.0,0,0,1,0,Y,N,,31-Jul-03,29005.0,0.0,P I F,0.0,25000.0,12500.0,-4.240446,11.614924,8.163458,1
999,999,1006916006,AMERICAN FLOOR CONTRACTING INC,SAN MARCOS,CA,92069,MUFG UNION BANK NATL ASSOC,CA,238330,8-Feb-06,2006,36,3,1.0,0,0,1,1,0,N,,31-Mar-06,23500.0,0.0,P I F,0.0,23500.0,11750.0,4.4009433,6.7260485,-5.212804,2
1000,1000,1006925002,Harris Electric Company,COLUMBUS,MS,39701,TRUSTMARK NATIONAL BANK,MS,238210,3-Jul-03,2003,70,12,1.0,0,0,1,2,N,N,24-Aug-07,31-Aug-03,75500.0,0.0,CHGOFF,75427.0,75500.0,37750.0,5.863256,5.7876816,0.29933962,2
1001,1001,1006935005,"P.C. Solutions & Training, Inc",CHICOPEE,MA,1020,"TD BANK, NATIONAL ASSOCIATION",DE,611519,7-Jul-03,2003,84,1,2.0,0,0,1,0,N,N,,31-Jul-03,9212.0,0.0,P I F,0.0,10000.0,5000.0,-10.860292,1.8285127,-4.8894753,4
1002,1002,1006936001,KATHERINE STORY,LAGUNA BEACH,CA,92651,MUFG UNION BANK NATL ASSOC,CA,448120,8-Feb-06,2006,48,6,1.0,0,0,1,1,0,N,,31-Mar-06,40000.0,0.0,P I F,0.0,40000.0,20000.0,4.6631956,7.274774,-4.8266172,2
1003,1003,1006945008,"P.C. Solutions & Training, Inc",CHICOPEE,MA,1020,"TD BANK, NATIONAL ASSOCIATION",DE,611519,7-Jul-03,2003,60,1,2.0,0,0,1,0,N,N,,31-Jul-03,7300.0,0.0,P I F,0.0,7300.0,3650.0,-10.913426,1.9709818,-4.847798,4
1004,1004,1006946004,METALSTORM ENTERTAINMENT INC,OCEANSIDE,CA,92054,MUFG UNION BANK NATL ASSOC,CA,512110,8-Feb-06,2006,18,3,2.0,0,0,1,1,0,N,4-Feb-09,31-Mar-06,50000.0,0.0,CHGOFF,24268.0,50000.0,25000.0,-4.909696,3.6331673,-11.350672,0
1005,1005,1006955000,"TJS Placements, LLC",CAMBRIA,WI,53923,BMO HARRIS BK NATL ASSOC,IL,624120,7-Jul-03,2003,83,58,1.0,0,0,1,0,Y,N,,31-Jul-03,206293.0,0.0,P I F,0.0,80000.0,40000.0,-1.8096942,6.6665406,6.681667,1
1006,1006,1006966010,CARE LOVE MEDICAL CENTER,LOS ANGELES,CA,90015,OPEN BANK,CA,621310,8-Feb-06,2006,63,38,1.0,0,38,1,1,Y,N,16-Jan-08,28-Feb-06,330000.0,0.0,CHGOFF,200000.0,200000.0,100000.0,5.441059,-5.0138216,-6.566479,3
1007,1007,1006973003,ENTERPRISE ROOFING INC.,ALBANY,NY,12205,KEYBANK NATIONAL ASSOCIATION,NY,0,14-Jul-80,1980,84,8,2.0,0,0,0,0,N,N,3-Sep-91,14-Aug-80,58000.0,0.0,CHGOFF,5405.0,58000.0,52200.0,-9.052707,7.597107,2.7762978,4
1008,1008,1006976002,STINER'S FURNITURE,HOOPER,UT,84315,GOLDENWEST FCU,UT,442110,8-Feb-06,2006,84,1,2.0,0,1,1,1,Y,N,,28-Feb-06,10775.0,0.0,P I F,0.0,10000.0,5000.0,-5.569444,3.5938046,-11.615325,0
1009,1009,1006985009,"Keystone Treats, LLC",WEST CHESTER,PA,19382,SANTANDER BANK NATL ASSOC,DE,722213,8-Jul-03,2003,60,1,2.0,0,0,40472,2,Y,N,,31-Oct-06,45000.0,0.0,P I F,0.0,30000.0,15000.0,-1.2652863,-14.57428,-7.528452,3
1010,1010,1006986005,DENNY'S SUPER SAVE,ATLANTA,GA,30310,BBCN BANK,CA,445120,8-Feb-06,2006,208,6,1.0,0,0,1,1,N,N,28-Sep-12,30-Apr-06,742000.0,0.0,CHGOFF,420561.0,742000.0,556500.0,-4.553078,9.716563,0.7236361,4
1011,1011,1006995001,"Page's Books, LLC",MIDDLETOWN,CT,6457,"TD BANK, NATIONAL ASSOCIATION",DE,451211,9-Jul-03,2003,60,1,2.0,0,0,1,1,N,N,,31-Aug-03,22000.0,0.0,P I F,0.0,22000.0,11000.0,-9.792292,-0.8652192,-10.798928,0
1012,1012,1006996008,DAVID HITE EXECUTIVE RECRUITIN,ALTOONA,PA,16601,FIRST COMMONWEALTH BANK,PA,561310,8-Feb-06,2006,84,1,1.0,0,1,1,1,Y,N,,31-Mar-06,34724.0,0.0,P I F,0.0,15000.0,7500.0,13.152257,5.8265734,6.9530864,2
1013,1013,1007005010,"Dennis A. Burke, D.O.",HARTFORD,CT,6105,"TD BANK, NATIONAL ASSOCIATION",DE,621111,9-Jul-03,2003,60,1,2.0,0,0,1,1,N,N,,30-Sep-03,20000.0,0.0,P I F,0.0,20000.0,10000.0,-8.649544,-1.177199,-10.771829,0
1014,1014,1007015002,"Dennis A. Burke, D.O.",HARTFORD,CT,6105,"TD BANK, NATIONAL ASSOCIATION",DE,621111,9-Jul-03,2003,84,1,2.0,0,0,1,1,N,N,,30-Sep-04,10000.0,0.0,P I F,0.0,10000.0,5000.0,-8.671701,-1.3782772,-10.639774,0
1015,1015,1007016009,BRANNON LAW FIRM LLC,COLUMBIA,SC,29201,BBCN BANK,CA,541110,8-Feb-06,2006,46,2,2.0,1,2,1,1,0,N,16-Jun-09,28-Feb-06,5000.0,0.0,P I F,3680.0,5000.0,4250.0,-7.197261,0.9658682,-10.860383,0
1016,1016,1007025005,Europa Caffe,CROMWELL,CT,6416,"TD BANK, NATIONAL ASSOCIATION",DE,722110,10-Jul-03,2003,84,2,2.0,0,0,1,2,N,N,,30-Sep-03,35000.0,0.0,P I F,0.0,35000.0,17500.0,-3.4519222,-2.1444945,-9.003403,0
1017,1017,1007035008,"Knight-Star Enterprises, Inc.",WACO,TX,76710,WELLS FARGO BANK NATL ASSOC,TX,541611,10-Jul-03,2003,44,1,2.0,0,0,1,0,Y,N,29-Dec-06,31-Jul-03,302768.0,0.0,CHGOFF,92097.0,170000.0,85000.0,-14.373463,3.6739004,-1.594205,4
1018,1018,1007045000,"Dial Hardware, L.C.",HEBBRONVILLE,TX,78361,WELLS FARGO BANK NATL ASSOC,TX,444130,11-Jul-03,2003,81,2,1.0,0,0,1,2,Y,N,,31-Oct-03,104215.0,0.0,P I F,0.0,75000.0,37500.0,5.1227183,4.5280046,-3.1193776,2
1019,1019,1007046007,BALL-N-CHAIN PRODUCTIONS,LIVERMORE,CA,94550,BBCN BANK,CA,512199,8-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,5000.0,0.0,P I F,0.0,5000.0,4250.0,-5.3050027,3.528181,-11.730305,0
1020,1020,1007055003,IT Direct LLC,HARTFORD,CT,6106,"TD BANK, NATIONAL ASSOCIATION",DE,541512,11-Jul-03,2003,84,2,2.0,0,0,1,1,N,N,,31-Mar-04,25180.0,0.0,P I F,0.0,35000.0,17500.0,-9.218566,-1.3225254,-10.531877,0
1021,1021,1007065006,"Boston Pedorthic Associates, L",WOBURN,MA,1801,"TD BANK, NATIONAL ASSOCIATION",DE,621391,11-Jul-03,2003,84,2,2.0,0,0,1,0,Y,N,,31-Mar-09,155121.0,0.0,P I F,0.0,75000.0,37500.0,-10.608018,1.3167069,-4.576429,4
1022,1022,1007074002,"BASIL R. LEGG, JR.",CLARKSBURG,WV,26301,BRANCH BK. & TR CO,WV,541110,4-Mar-97,1997,60,1,2.0,0,0,1,0,N,Y,,31-May-97,10000.0,0.0,P I F,0.0,10000.0,8000.0,-11.396189,-0.8553505,-1.6849765,4
1023,1023,1007075009,"Boston Pedorthic Associates, L",WOBURN,MA,1801,"TD BANK, NATIONAL ASSOCIATION",DE,621391,11-Jul-03,2003,60,2,2.0,0,0,1,0,N,N,,31-Aug-03,25000.0,0.0,P I F,0.0,25000.0,12500.0,-10.858833,1.9440933,-4.755918,4
1024,1024,1007084005,"GREGORY INSURANCE ADJUSTMENTS,",PADUCAH,KY,42003,BANTERRA BANK,KY,0,4-Mar-97,1997,120,2,2.0,0,0,1,0,N,N,,30-Apr-97,133000.0,0.0,P I F,0.0,133000.0,99750.0,-15.039804,-5.0380425,-1.666574,4
1025,1025,1007085001,4-D GRAPHICS INCORPORATED,HOUSTON,TX,77055,PATRIOT BANK,TX,541430,14-Jul-03,2003,35,23,1.0,0,0,1,0,Y,N,,30-Sep-03,205800.0,0.0,P I F,0.0,148800.0,74400.0,-0.111161016,8.599129,7.152283,1
1026,1026,1007094008,PERFORMANCE CYCLE,CLARK,PA,16113,"PNC BANK, NATIONAL ASSOCIATION",DE,0,4-Mar-97,1997,60,1,2.0,0,0,1,0,N,Y,,30-Jun-97,18500.0,0.0,P I F,0.0,18500.0,14800.0,-13.201566,-5.3912544,-1.7774274,4
1027,1027,1007095004,"R L D Heating & Cooling, Inc.",KILLINGWORTH,CT,6419,"TD BANK, NATIONAL ASSOCIATION",DE,238220,14-Jul-03,2003,60,1,2.0,0,0,1,2,N,N,,31-Jul-03,25000.0,0.0,P I F,0.0,25000.0,12500.0,-1.5830309,-0.7305916,-7.0729065,0
1028,1028,1007104009,MID PLAINS INSULATION CO. INC.,OMAHA,NE,68154,WELLS FARGO BANK NATL ASSOC,NE,0,4-Mar-97,1997,60,7,2.0,0,0,1,0,N,Y,,31-Mar-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,-15.922913,-3.9083822,-0.4935556,4
1029,1029,1007105005,Sharon Aircraft Components,SOMERSVILLE,CT,6072,"TD BANK, NATIONAL ASSOCIATION",DE,336412,15-Jul-03,2003,60,3,1.0,0,0,1,2,N,N,,31-Jul-03,18500.0,0.0,P I F,0.0,18500.0,9250.0,5.4273734,4.286449,2.1482294,2
1030,1030,1007114001,SUNI'S ALTERATIONS,ALTUS AFB,OK,73521,1ST NATL BK IN ALTUS,OK,0,4-Mar-97,1997,240,2,2.0,0,0,1,0,N,Y,,31-Aug-97,90000.0,0.0,P I F,0.0,90000.0,72000.0,-8.1792345,-5.938972,0.15782827,4
1031,1031,1007124004,"VIDEO KINGDOM OF GRAND ISLAND,",GRAND ISLAND,NE,68801,NEBRASKA ECONOMIC DEVEL CORP,NE,0,4-Mar-97,1997,240,20,2.0,5,15,1,0,N,N,,11-Feb-98,597000.0,0.0,P I F,0.0,597000.0,597000.0,-4.7710686,-7.3089,0.60887575,3
1032,1032,1007134007,FIRELANDS PERIODONTAL,NORWALK,OH,44875,KEYBANK NATIONAL ASSOCIATION,OH,621210,4-Mar-97,1997,84,6,1.0,0,0,1,0,N,N,,31-Aug-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,-1.4555876,4.1943064,14.585353,1
1033,1033,1007135003,"Harbor Controls, Inc.",NORTH KINGSTOWN,RI,2852,BANK RHODE ISLAND,RI,541512,16-Jul-03,2003,47,2,2.0,0,0,1,0,Y,N,,31-Aug-04,723650.0,0.0,P I F,0.0,250000.0,125000.0,-5.3000875,0.9249454,-4.942275,4
1034,1034,1007145006,"Franklin Clinic, LP and Martin",KERRVILLE,TX,78028,WELLS FARGO BANK NATL ASSOC,TX,621111,16-Jul-03,2003,48,10,1.0,0,0,1,0,N,N,,30-Sep-03,200000.0,0.0,P I F,0.0,200000.0,100000.0,0.12862456,8.649111,7.3245735,1
1035,1035,1007155009,Hart Foundation Drilling Speci,JACKSON,MS,39212,TRUSTMARK NATIONAL BANK,MS,235990,17-Jul-03,2003,36,2,1.0,0,0,1,1,Y,N,,30-Sep-03,50400.0,0.0,P I F,0.0,50400.0,25200.0,5.7973175,8.000628,-0.5786919,2
1036,1036,1007165001,Jeffrey B. Faye,SALTILLO,MS,38866,TRUSTMARK NATIONAL BANK,MS,561740,17-Jul-03,2003,36,2,2.0,0,0,1,2,N,N,,31-Aug-03,9200.0,0.0,P I F,0.0,9700.0,4850.0,-3.4083285,0.19511111,-9.099407,0
1037,1037,1007175004,Gem Cleaners,WAYLAND,MA,1778,"TD BANK, NATIONAL ASSOCIATION",DE,812320,18-Jul-03,2003,60,6,2.0,0,0,1,0,N,N,,31-Aug-03,60000.0,0.0,P I F,0.0,60000.0,30000.0,-10.314303,2.1324995,-4.170172,4
1038,1038,1007185007,ServPro of Bay County,PANAMA CITY,FL,32405,WELLS FARGO BANK NATL ASSOC,SD,561740,21-Jul-03,2003,60,5,1.0,0,0,73675,0,N,N,,31-Aug-03,100000.0,0.0,P I F,0.0,100000.0,50000.0,-1.5416479,-13.50143,-6.0344095,3
1039,1039,1007195010,Kingston Video & Tanning Cente,KINGSTON,NH,3848,"TD BANK, NATIONAL ASSOCIATION",DE,532230,21-Jul-03,2003,2,2,1.0,0,0,1,0,N,N,15-Apr-13,30-Nov-03,47500.0,0.0,CHGOFF,6550.0,47500.0,23750.0,5.0385346,5.939555,17.148968,1
1040,1040,1007204004,"BELLEVUE TUNE&LUBE,INC.",PAPILLION,NE,68046,"READYCAP LENDING, LLC",CA,811111,4-Mar-97,1997,84,4,2.0,0,0,1,0,N,Y,,31-Jul-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,-12.70611,0.76508355,-0.06924538,4
1041,1041,1007205000,"Greene's Auto Service, Inc",JACKSON,MS,39204,TRUSTMARK NATIONAL BANK,MS,441320,21-Jul-03,2003,120,8,1.0,0,0,1,1,N,N,,31-Oct-03,60600.0,0.0,P I F,0.0,60600.0,30300.0,5.197565,6.9417286,-1.3636,2
1042,1042,1007215003,Alsup Trucking,RAYMOND,MS,39154,TRUSTMARK NATIONAL BANK,MS,484121,22-Jul-03,2003,60,2,2.0,0,0,1,2,N,N,,31-Dec-03,40300.0,0.0,P I F,0.0,60400.0,30200.0,-3.3198338,0.22400822,-8.770041,0
1043,1043,1007225006,Parlee Cycles Inc,WOBURN,MA,1801,"TD BANK, NATIONAL ASSOCIATION",DE,336991,22-Jul-03,2003,84,3,2.0,0,0,1,0,Y,N,,31-Oct-03,271741.0,0.0,P I F,0.0,150000.0,75000.0,-10.962612,0.1566814,-5.620385,4
1044,1044,1007235009,"Richard A. Ramirez D.D.S., Pro",RICHARDSON,TX,75080,WELLS FARGO BANK NATL ASSOC,TX,621210,22-Jul-03,2003,26,1,2.0,0,0,1,0,Y,N,,31-Jul-03,254806.0,0.0,P I F,0.0,100000.0,50000.0,-14.216868,2.6997046,-1.6005414,4
1045,1045,1007244005,HOOVER TRANSPORTATION SERVICES,REYNOLDSBURG,OH,43068,COMMUNITY CAP. DEVEL CORP,OH,0,4-Mar-97,1997,240,20,1.0,4,16,1,0,N,N,,14-Jun-00,126000.0,0.0,P I F,0.0,126000.0,126000.0,6.141245,-7.1130476,-3.6492941,3
1046,1046,1007254008,A-1 DISCOUNTS CLEANERS,RALSTON,NE,68127,AMERICAN NATIONAL BANK,NE,812310,4-Mar-97,1997,84,11,2.0,0,0,1,0,N,N,,30-Jun-97,171500.0,0.0,P I F,0.0,171500.0,128625.0,-12.604301,0.8541624,-0.14844625,4
1047,1047,1007255004,Parlee Cycles Inc,WOBURN,MA,1801,"TD BANK, NATIONAL ASSOCIATION",DE,336991,22-Jul-03,2003,84,3,2.0,0,0,1,0,N,N,,30-Sep-03,45000.0,0.0,P I F,0.0,45000.0,22500.0,-11.823306,1.0192941,-5.7032633,4
1048,1048,1007265007,"KOP & Associates, LLC",ACWORTH,GA,30102,WELLS FARGO BANK NATL ASSOC,SD,332510,23-Jul-03,2003,36,3,1.0,0,0,1,0,Y,N,,31-Aug-03,158370.0,0.0,P I F,0.0,70000.0,35000.0,6.847784,5.890962,16.92737,1
1049,1049,1007274003,MIDDLEBORO CITGO,MIDDLEBORO,MA,2346,HOME LOAN INVEST BANK F.S.B.,RI,0,4-Mar-97,1997,264,3,1.0,0,0,1,0,N,N,,30-Apr-97,235000.0,0.0,P I F,0.0,235000.0,176250.0,-0.85647345,-4.892019,5.9744043,3
1050,1050,1007275010,J & K Trucking,CORINTH,MS,38834,TRUSTMARK NATIONAL BANK,MS,484110,23-Jul-03,2003,48,4,1.0,0,0,1,2,N,N,,31-May-05,10200.0,0.0,P I F,0.0,10200.0,5100.0,5.3703794,4.1467013,-0.12824164,2
1051,1051,1007285002,"Alamo Protective Services, Inc",SAN ANTONIO,TX,78216,WELLS FARGO BANK NATL ASSOC,SD,561613,23-Jul-03,2003,38,37,2.0,0,0,1,0,N,N,,31-Aug-03,2785.0,0.0,,0.0,20000.0,10000.0,-14.26575,2.4024444,-1.768849,4
1052,1052,1007294009,YOUNG'S TACK SHOP,STONEBORO,PA,16153,"PNC BANK, NATIONAL ASSOCIATION",DE,0,4-Mar-97,1997,84,2,2.0,0,0,1,0,N,Y,,30-Sep-97,25000.0,0.0,P I F,0.0,25000.0,20000.0,-13.283643,-5.6307783,-1.7474401,4
1053,1053,1007295005,Southern Power Systems Service,NEWNAN,GA,30263,WELLS FARGO BANK NATL ASSOC,SD,811310,23-Jul-03,2003,36,8,1.0,0,0,1,0,Y,N,,31-Jan-04,300000.0,0.0,P I F,0.0,100000.0,50000.0,4.6257067,7.572122,15.795081,1
